date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:04	149/149	---M-Z	200	added ('OK')	text/plain	etag:%2203485dfaed6d51:0%22	http://www.minotech.co.uk/robots.txt		(from )
11:22:04	22506/22506	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:04%20GMT	http://www.minotech.co.uk/	/home/keith/websites/Minotech/www.minotech.co.uk/index.html	(from )
11:22:07	32988/32988	---M--	200	added ('OK')	image/x-icon	etag:%2203485dfaed6d51:0%22	http://www.minotech.co.uk/images/ministry/favicon.ico	/home/keith/websites/Minotech/www.minotech.co.uk/images/ministry/favicon.ico	(from http://www.minotech.co.uk/)
11:22:07	2323/2323	---M--	200	added ('OK')	image/png	etag:%22adedb87c87e3d51:0%22	http://www.minotech.co.uk/images/ministry/apple-touch-icon-114x114-precomposed.png?v=7.1.0.25803	/home/keith/websites/Minotech/www.minotech.co.uk/images/ministry/apple-touch-icon-114x114-precomposed9078.png	(from http://www.minotech.co.uk/)
11:22:07	1650/1650	---M--	200	added ('OK')	image/png	etag:%221e497f7d87e3d51:0%22	http://www.minotech.co.uk/images/ministry/apple-touch-icon-72x72-precomposed.png?v=7.1.0.25803	/home/keith/websites/Minotech/www.minotech.co.uk/images/ministry/apple-touch-icon-72x72-precomposed9078.png	(from http://www.minotech.co.uk/)
11:22:08	1295/1295	---M--	200	added ('OK')	image/png	etag:%2299b364df6d9d51:0%22	http://www.minotech.co.uk/images/ministry/apple-touch-icon-precomposed.png?v=7.1.0.25803	/home/keith/websites/Minotech/www.minotech.co.uk/images/ministry/apple-touch-icon-precomposed9078.png	(from http://www.minotech.co.uk/)
11:22:09	28759/28759	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.6.0/css/font-awesome.min.css	/home/keith/websites/Minotech/maxcdn.bootstrapcdn.com/font-awesome/4.6.0/css/font-awesome.min.css	(from http://www.minotech.co.uk/)
11:22:10	34061/34061	---M-Z	200	added ('OK')	text/css	etag:%220479f2aafd6d51:0%22	http://www.minotech.co.uk/css/ministry-style.min.css?v=7.1.0.25813	/home/keith/websites/Minotech/www.minotech.co.uk/css/ministry-style.min91af.css	(from http://www.minotech.co.uk/)
11:22:11	509/509	---M-Z	200	added ('OK')	text/plain	etag:%2203485dfaed6d51:0%22	http://www.minotech.co.uk/humans.txt	/home/keith/websites/Minotech/www.minotech.co.uk/humans.txt	(from http://www.minotech.co.uk/)
11:22:12	17757/17757	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2006%20Jan%202021%2011:22:12%20GMT	http://use.typekit.net/sha1jar.js	/home/keith/websites/Minotech/use.typekit.net/sha1jar.js	(from http://www.minotech.co.uk/)
11:22:13	608/608	---M--	200	added ('OK')	image/svg+xml	etag:%2203485dfaed6d51:0%22	http://www.minotech.co.uk/images/ministry/background.svg?v=7.1.0.25803	/home/keith/websites/Minotech/www.minotech.co.uk/images/ministry/background9078.svg	(from http://www.minotech.co.uk/)
11:22:14	4112/4112	---M--	200	added ('OK')	image/svg+xml	etag:%2203485dfaed6d51:0%22	http://www.minotech.co.uk/images/ministry/logo-text.svg?v=7.1.0.25803	/home/keith/websites/Minotech/www.minotech.co.uk/images/ministry/logo-text9078.svg	(from http://www.minotech.co.uk/)
11:22:15	827/827	---M--	200	added ('OK')	image/svg+xml	etag:%2203485dfaed6d51:0%22	http://www.minotech.co.uk/images/ministry/logo-icon.svg?v=7.1.0.25803	/home/keith/websites/Minotech/www.minotech.co.uk/images/ministry/logo-icon9078.svg	(from http://www.minotech.co.uk/)
11:22:16	17221/17221	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:16%20GMT	http://www.minotech.co.uk/services/	/home/keith/websites/Minotech/www.minotech.co.uk/services/index.html	(from http://www.minotech.co.uk/)
11:22:16	9276/9276	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:16%20GMT	http://www.minotech.co.uk/why-mot/	/home/keith/websites/Minotech/www.minotech.co.uk/why-mot/index.html	(from http://www.minotech.co.uk/)
11:22:16	10236/10236	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:15%20GMT	http://www.minotech.co.uk/network/	/home/keith/websites/Minotech/www.minotech.co.uk/network/index.html	(from http://www.minotech.co.uk/)
11:22:16	14834/14834	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:16%20GMT	http://www.minotech.co.uk/development/	/home/keith/websites/Minotech/www.minotech.co.uk/development/index.html	(from http://www.minotech.co.uk/)
11:22:17	1807/1807	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20May%202015%2016:31:16%20GMT	http://pbs.twimg.com/profile_images/597801657871802368/ers_uX_4_normal.jpg	/home/keith/websites/Minotech/pbs.twimg.com/profile_images/597801657871802368/ers_uX_4_normal.jpg	(from http://www.minotech.co.uk/)
11:22:18	8460/8460	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:17%20GMT	http://www.minotech.co.uk/contact/	/home/keith/websites/Minotech/www.minotech.co.uk/contact/index.html	(from http://www.minotech.co.uk/)
11:22:18	10838/10838	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:18%20GMT	http://www.minotech.co.uk/services/remote-control/	/home/keith/websites/Minotech/www.minotech.co.uk/services/remote-control/index.html	(from http://www.minotech.co.uk/)
11:22:18	21889/21889	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:17%20GMT	http://www.minotech.co.uk/blog/	/home/keith/websites/Minotech/www.minotech.co.uk/blog/index.html	(from http://www.minotech.co.uk/)
11:22:19	13570/13570	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2006%20Jan%202021%2011:22:18%20GMT	http://www.minotech.co.uk/why-mot/clients/	/home/keith/websites/Minotech/www.minotech.co.uk/why-mot/clients/index.html	(from http://www.minotech.co.uk/)
11:22:20	2871/2871	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Feb%202016%2015:46:05%20GMT	http://pbs.twimg.com/profile_images/699983665674194944/szaMaJZy_normal.png	/home/keith/websites/Minotech/pbs.twimg.com/profile_images/699983665674194944/szaMaJZy_normal.png	(from http://www.minotech.co.uk/)
11:22:20	13947/13947	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:19%20GMT	http://www.minotech.co.uk/blog/the-time-to-change-is-now/	/home/keith/websites/Minotech/www.minotech.co.uk/blog/the-time-to-change-is-now/index.html	(from http://www.minotech.co.uk/)
11:22:20	41627/41627	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:20%20GMT	http://www.minotech.co.uk/network/keith-jackson/	/home/keith/websites/Minotech/www.minotech.co.uk/network/keith-jackson/index.html	(from http://www.minotech.co.uk/)
11:22:22	7065/7065	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:20%20GMT	http://www.minotech.co.uk/elements/privacy-policy	/home/keith/websites/Minotech/www.minotech.co.uk/elements/privacy-policy.html	(from http://www.minotech.co.uk/)
11:22:22	12319/12319	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:22%20GMT	http://www.minotech.co.uk/blog/the-value-of-a-spike/	/home/keith/websites/Minotech/www.minotech.co.uk/blog/the-value-of-a-spike/index.html	(from http://www.minotech.co.uk/)
11:22:22	14804/14804	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:21%20GMT	http://www.minotech.co.uk/blog/brexit-from-an-agile-perspective/	/home/keith/websites/Minotech/www.minotech.co.uk/blog/brexit-from-an-agile-perspective/index.html	(from http://www.minotech.co.uk/)
11:22:22	10117/10117	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:21%20GMT	http://www.minotech.co.uk/blog/remote-working-support-for-you/	/home/keith/websites/Minotech/www.minotech.co.uk/blog/remote-working-support-for-you/index.html	(from http://www.minotech.co.uk/)
11:22:22	10382/10382	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:21%20GMT	http://www.minotech.co.uk/elements/cookies-policy	/home/keith/websites/Minotech/www.minotech.co.uk/elements/cookies-policy.html	(from http://www.minotech.co.uk/)
11:22:24	35895/35895	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:22%20GMT	http://www.minotech.co.uk/elements/terms-and-conditions	/home/keith/websites/Minotech/www.minotech.co.uk/elements/terms-and-conditions.html	(from http://www.minotech.co.uk/)
11:22:24	9642/9642	---M-Z	200	added ('OK')	application/x-javascript	etag:%2203485dfaed6d51:0%22	http://www.minotech.co.uk/js/head-1.0.3.min.js	/home/keith/websites/Minotech/www.minotech.co.uk/js/head-1.0.3.min.js	(from http://www.minotech.co.uk/)
11:22:27	6439/6439	---M-Z	200	added ('OK')	application/x-javascript	etag:%220479f2aafd6d51:0%22	http://www.minotech.co.uk/js/ministry.min.js?v=7.1.0.25813	/home/keith/websites/Minotech/www.minotech.co.uk/js/ministry.min91af.js	(from http://www.minotech.co.uk/)
11:22:28	463/463	---M-Z	200	added ('OK')	application/x-javascript	etag:%2203485dfaed6d51:0%22	http://www.minotech.co.uk/js/analytics.js?v=7.1.0.25813	/home/keith/websites/Minotech/www.minotech.co.uk/js/analytics91af.js	(from http://www.minotech.co.uk/)
11:22:30	13570/13570	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2006%20Jan%202021%2011:22:28%20GMT	http://www.minotech.co.uk/why-mot/partners/	/home/keith/websites/Minotech/www.minotech.co.uk/why-mot/partners/index.html	(from http://www.minotech.co.uk/why-mot/)
11:22:30	10080/10080	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:28%20GMT	http://www.minotech.co.uk/blog/what-is-agile/	/home/keith/websites/Minotech/www.minotech.co.uk/blog/what-is-agile/index.html	(from http://www.minotech.co.uk/why-mot/)
11:22:32	10896/10896	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Jan%202021%2011:22:30%20GMT	http://www.minotech.co.uk/services/?filter=Development	/home/keith/websites/Minotech/www.minotech.co.uk/services/index56c8.html	(from http://www.minotech.co.uk/services/)
11:22:32	5344/5344	---M--	200	added ('OK')	image/svg+xml	etag:%2203485dfaed6d51:0%22	http://www.minotech.co.uk/images/ministry/services/mot-product.svg?v=7.1.0.25803	/home/keith/websites/Minotech/www.minotech.co.uk/images/ministry/services/mot-product9078.svg	(from http://www.minotech.co.uk/services/)
11:22:33	1639/1639	---M--	200	added ('OK')	image/svg+xml	etag:%2203485dfaed6d51:0%22	http://www.minotech.co.uk/images/ministry/services/fuel-pump-2.svg?v=7.1.0.25803	/home/keith/websites/Minotech/www.minotech.co.uk/images/ministry/services/fuel-pump-29078.svg	(from http://www.minotech.co.uk/services/)
